agente,bloque_de_5,mejor_recompensa,promedio_del_bloque
Aleatorio,1,290.0,179.0
Aleatorio,2,230.0,133.0
Aleatorio,3,260.0,169.0
Aleatorio,4,485.0,228.0
Aleatorio,5,370.0,177.0
Aleatorio,6,130.0,108.0
Regla simple,1,310.0,217.0
Regla simple,2,265.0,178.0
Regla simple,3,330.0,204.0
Regla simple,4,360.0,231.0
Regla simple,5,350.0,252.0
Regla simple,6,350.0,187.0
