paso_global,loss,q_promedio,target_promedio,error_td_promedio,beta_per,peso_importancia_promedio,epsilon,tamano_buffer,tiempo_segundos
10000,0.05499079078435898,0.0056969765573740005,0.1412384957075119,0.1366124004125595,0.41200000000000003,1.0,0.964,9998,5.682547092437744
11000,0.013530545867979527,0.10564824193716049,0.1070457175374031,0.12220228463411331,0.4132,0.49698078632354736,0.9604,10998,9.028341054916382
12000,0.039942558854818344,0.16735559701919556,0.29424533247947693,0.2916452884674072,0.41440000000000005,0.580737292766571,0.9568,11998,12.101104974746704
13000,0.035292938351631165,0.17420077323913574,0.2327437400817871,0.2546886205673218,0.4156,0.6405881643295288,0.9532,13000,15.131847858428955
14000,0.033139992505311966,0.17780746519565582,0.20187638700008392,0.24696069955825806,0.4168,0.6596789360046387,0.9496,13998,18.148634910583496
15000,0.04958505183458328,0.1875724196434021,0.26030421257019043,0.3032247722148895,0.41800000000000004,0.7163284420967102,0.946,14998,21.156559944152832
16000,0.03283011168241501,0.12677979469299316,0.29257604479789734,0.26294374465942383,0.4192,0.5318357944488525,0.9424,15998,24.244084119796753
17000,0.01568354293704033,0.16416558623313904,0.20083920657634735,0.2160768061876297,0.4204,0.4274068772792816,0.9388,16998,27.273791074752808
18000,0.028854768723249435,0.22994837164878845,0.26376277208328247,0.30048730969429016,0.42160000000000003,0.4736511707305908,0.9352,17998,30.418514013290405
19000,0.022494012489914894,0.17117656767368317,0.16823405027389526,0.21537338197231293,0.4228,0.5833661556243896,0.9316,18998,33.46259617805481
20000,0.02199714630842209,0.20750896632671356,0.23075143992900848,0.22820694744586945,0.42400000000000004,0.5559787750244141,0.9279999999999999,19998,36.44484901428223
21000,0.022822009399533272,0.42221152782440186,0.3764718174934387,0.2631765604019165,0.4252,0.5148512125015259,0.9244,20000,39.48990321159363
22000,0.027164142578840256,0.4348602294921875,0.37522339820861816,0.24395523965358734,0.4264,0.657936692237854,0.9208000000000001,20000,42.609090089797974
23000,0.02074015513062477,0.3212639093399048,0.3145837187767029,0.1792062520980835,0.42760000000000004,0.6997030377388,0.9172,20000,45.86056089401245
24000,0.023787612095475197,0.2942735552787781,0.3415135145187378,0.24332983791828156,0.4288,0.49046590924263,0.9136,20000,48.96307897567749
25000,0.02358071692287922,0.36103251576423645,0.3916970491409302,0.2546459138393402,0.43000000000000005,0.47426551580429077,0.91,20000,52.145172119140625
26000,0.021216493099927902,0.3983980417251587,0.5291613340377808,0.2718423306941986,0.4312,0.43838977813720703,0.9064,20000,55.61717414855957
27000,0.014426697045564651,0.3497329354286194,0.39372581243515015,0.18327738344669342,0.4324,0.49394387006759644,0.9028,20000,58.75475192070007
28000,0.016156842932105064,0.310478538274765,0.3764057159423828,0.20941919088363647,0.43360000000000004,0.44314906001091003,0.8992,20000,61.87336087226868
29000,0.013463303446769714,0.394204705953598,0.4685979187488556,0.22887542843818665,0.4348,0.3579241633415222,0.8956,20000,64.98395800590515
30000,0.0067776464857161045,0.34894731640815735,0.23962795734405518,0.1457173228263855,0.436,0.4347802400588989,0.892,20000,67.98324704170227
31000,0.006515678949654102,0.4360957145690918,0.44023799896240234,0.17256388068199158,0.43720000000000003,0.2810404896736145,0.8884,20000,70.99505686759949
32000,0.03071078285574913,0.5245019197463989,0.4824731945991516,0.2576991319656372,0.4384,0.590028703212738,0.8848,20000,74.0640799999237
33000,0.01873042806982994,0.5178660154342651,0.42531272768974304,0.23176875710487366,0.43960000000000005,0.5515483617782593,0.8812,20000,77.33174085617065
34000,0.02477017045021057,0.5187044143676758,0.5095513463020325,0.2649085521697998,0.4408,0.5061661005020142,0.8775999999999999,20000,80.87775707244873
35000,0.012274405919015408,0.5151609182357788,0.5512109994888306,0.2186734527349472,0.442,0.37551119923591614,0.874,20000,84.2673659324646
36000,0.022063184529542923,0.42294904589653015,0.558122992515564,0.207667276263237,0.44320000000000004,0.5720840692520142,0.8704000000000001,20000,87.67532587051392
37000,0.012806784361600876,0.40958306193351746,0.43769940733909607,0.2077198028564453,0.4444,0.41422104835510254,0.8668,20000,91.03617596626282
38000,0.01847304403781891,0.5179449319839478,0.4949793815612793,0.20362798869609833,0.4456,0.6551569700241089,0.8632,20000,94.65818190574646
39000,0.015383298508822918,0.47289639711380005,0.5320828557014465,0.1845441609621048,0.44680000000000003,0.5178954601287842,0.8596,20000,98.19506406784058
40000,0.015085605904459953,0.4730072617530823,0.44734644889831543,0.2028760313987732,0.448,0.5074916481971741,0.856,20000,101.49712300300598
41000,0.02566595748066902,0.6355619430541992,0.683296799659729,0.23201456665992737,0.44920000000000004,0.5922787189483643,0.8524,20000,105.18222904205322
42000,0.023146601393818855,0.6047738790512085,0.6294293403625488,0.25017303228378296,0.4504,0.5322722792625427,0.8488,20000,108.4162609577179
43000,0.03883037716150284,0.5304666757583618,0.7142621874809265,0.30510228872299194,0.4516,0.5291878581047058,0.8452,20000,111.93424201011658
44000,0.0063063474372029305,0.5914502739906311,0.5170592069625854,0.1451374590396881,0.45280000000000004,0.5154638290405273,0.8416,20000,115.25019383430481
45000,0.02067139372229576,0.551038384437561,0.6893258690834045,0.23168107867240906,0.454,0.5175180435180664,0.838,20000,118.83219885826111
46000,0.01327306218445301,0.6095601916313171,0.638084888458252,0.16345429420471191,0.45520000000000005,0.5938993096351624,0.8344,20000,122.23488903045654
47000,0.020015545189380646,0.6654306054115295,0.6551786065101624,0.22036898136138916,0.45640000000000003,0.5296510457992554,0.8308,20000,125.89638090133667
