agente,mejor_de_5_promedio,mejor_de_5_mediana,menor_mejor_de_5,mayor_mejor_de_5
V6 checkpoint 2.0M,668.3333333333334,612.5,570.0,910.0
V6 checkpoint 2.7M,688.3333333333334,702.5,500.0,920.0
