paso_global,promedio,mediana,desviacion,minimo,maximo
50000,149.0,135.0,52.478567053607705,95.0,240.0
100000,191.0,160.0,116.2067123706716,70.0,330.0
150000,297.0,295.0,116.73045875006231,135.0,460.0
200000,383.0,305.0,123.39367893048654,255.0,545.0
250000,302.0,305.0,80.65977932030313,175.0,420.0
300000,242.0,160.0,113.60457737256893,155.0,445.0
350000,250.0,200.0,85.02940667792525,160.0,365.0
400000,478.0,465.0,124.92397688194208,325.0,630.0
450000,267.0,220.0,113.4283915075939,130.0,425.0
500000,294.0,330.0,103.12128781197411,160.0,415.0
550000,389.0,375.0,99.86991538997117,240.0,520.0
600000,488.0,510.0,116.73045875006231,270.0,600.0
650000,472.0,480.0,60.29925372672534,375.0,555.0
700000,315.0,325.0,79.68688725254614,170.0,405.0
750000,402.0,400.0,80.59776671843954,260.0,480.0
800000,418.0,420.0,81.89017035029296,315.0,540.0
850000,370.0,375.0,23.45207879911715,330.0,395.0
900000,409.0,435.0,90.9065454189081,285.0,545.0
950000,414.0,430.0,79.64923100695951,260.0,480.0
1000000,493.0,480.0,114.04385121522334,365.0,705.0
