episodio,paso_global,recompensa_real,pasos,epsilon,terminated,truncated
3532,818518,110.0,197,0.09999999999999998,True,False
3533,818716,175.0,198,0.09999999999999998,True,False
3534,819226,220.0,510,0.09999999999999998,True,False
3535,819388,50.0,162,0.09999999999999998,True,False
3536,819941,215.0,553,0.09999999999999998,True,False
3537,820318,370.0,377,0.09999999999999998,True,False
3538,820589,110.0,271,0.09999999999999998,True,False
3539,820967,440.0,378,0.09999999999999998,True,False
3540,821193,125.0,226,0.09999999999999998,True,False
3541,821512,260.0,319,0.09999999999999998,True,False
3542,821722,115.0,210,0.09999999999999998,True,False
3543,821919,105.0,197,0.09999999999999998,True,False
3544,822124,105.0,205,0.09999999999999998,True,False
3545,822272,50.0,148,0.09999999999999998,True,False
3546,822487,115.0,215,0.09999999999999998,True,False
3547,822635,80.0,148,0.09999999999999998,True,False
3548,822823,135.0,188,0.09999999999999998,True,False
3549,823031,140.0,208,0.09999999999999998,True,False
3550,823202,125.0,171,0.09999999999999998,True,False
3551,823285,0.0,83,0.09999999999999998,True,False
3552,823448,85.0,163,0.09999999999999998,True,False
3553,823729,225.0,281,0.09999999999999998,True,False
3554,823816,5.0,87,0.09999999999999998,True,False
3555,824007,85.0,191,0.09999999999999998,True,False
3556,824175,60.0,168,0.09999999999999998,True,False
3557,824334,110.0,159,0.09999999999999998,True,False
3558,824492,65.0,158,0.09999999999999998,True,False
3559,824779,170.0,287,0.09999999999999998,True,False
3560,825148,235.0,369,0.09999999999999998,True,False
3561,825520,205.0,372,0.09999999999999998,True,False
3562,825664,65.0,144,0.09999999999999998,True,False
3563,825850,150.0,186,0.09999999999999998,True,False
3564,826002,75.0,152,0.09999999999999998,True,False
3565,826444,215.0,442,0.09999999999999998,True,False
3566,826599,65.0,155,0.09999999999999998,True,False
3567,826899,155.0,300,0.09999999999999998,True,False
3568,827179,205.0,280,0.09999999999999998,True,False
3569,827390,135.0,211,0.09999999999999998,True,False
3570,827680,205.0,290,0.09999999999999998,True,False
3571,827990,85.0,310,0.09999999999999998,True,False
3572,828274,185.0,284,0.09999999999999998,True,False
3573,828451,100.0,177,0.09999999999999998,True,False
3574,828630,75.0,179,0.09999999999999998,True,False
3575,828950,185.0,320,0.09999999999999998,True,False
3576,829045,5.0,95,0.09999999999999998,True,False
3577,829332,235.0,287,0.09999999999999998,True,False
3578,829504,140.0,172,0.09999999999999998,True,False
3579,829667,95.0,163,0.09999999999999998,True,False
3580,829853,110.0,186,0.09999999999999998,True,False
3581,830216,255.0,363,0.09999999999999998,True,False
3582,830805,315.0,589,0.09999999999999998,True,False
3583,831153,405.0,348,0.09999999999999998,True,False
3584,831432,125.0,279,0.09999999999999998,True,False
3585,831726,200.0,294,0.09999999999999998,True,False
3586,831880,85.0,154,0.09999999999999998,True,False
3587,832107,165.0,227,0.09999999999999998,True,False
3588,832277,80.0,170,0.09999999999999998,True,False
3589,832853,365.0,576,0.09999999999999998,True,False
3590,832999,75.0,146,0.09999999999999998,True,False
3591,833471,145.0,472,0.09999999999999998,True,False
3592,833647,50.0,176,0.09999999999999998,True,False
3593,833820,120.0,173,0.09999999999999998,True,False
3594,834102,180.0,282,0.09999999999999998,True,False
3595,834193,0.0,91,0.09999999999999998,True,False
3596,834364,100.0,171,0.09999999999999998,True,False
3597,834669,110.0,305,0.09999999999999998,True,False
3598,834829,75.0,160,0.09999999999999998,True,False
3599,834919,0.0,90,0.09999999999999998,True,False
3600,835208,225.0,289,0.09999999999999998,True,False
3601,835295,0.0,87,0.09999999999999998,True,False
3602,835581,135.0,286,0.09999999999999998,True,False
3603,835674,0.0,93,0.09999999999999998,True,False
3604,836030,140.0,356,0.09999999999999998,True,False
3605,836117,0.0,87,0.09999999999999998,True,False
3606,836270,105.0,153,0.09999999999999998,True,False
3607,836350,5.0,80,0.09999999999999998,True,False
3608,836440,0.0,90,0.09999999999999998,True,False
3609,836630,95.0,190,0.09999999999999998,True,False
3610,836716,0.0,86,0.09999999999999998,True,False
3611,836799,0.0,83,0.09999999999999998,True,False
3612,837267,290.0,468,0.09999999999999998,True,False
3613,837436,95.0,169,0.09999999999999998,True,False
3614,837581,80.0,145,0.09999999999999998,True,False
3615,837772,115.0,191,0.09999999999999998,True,False
3616,837968,95.0,196,0.09999999999999998,True,False
3617,838399,150.0,431,0.09999999999999998,True,False
3618,838552,95.0,153,0.09999999999999998,True,False
3619,839043,340.0,491,0.09999999999999998,True,False
3620,839333,160.0,290,0.09999999999999998,True,False
3621,839633,180.0,300,0.09999999999999998,True,False
3622,839730,0.0,97,0.09999999999999998,True,False
3623,839913,80.0,183,0.09999999999999998,True,False
3624,840216,175.0,303,0.09999999999999998,True,False
3625,840678,230.0,462,0.09999999999999998,True,False
3626,840831,40.0,153,0.09999999999999998,True,False
3627,841333,295.0,502,0.09999999999999998,True,False
3628,841488,70.0,155,0.09999999999999998,True,False
3629,841945,235.0,457,0.09999999999999998,True,False
3630,842250,125.0,305,0.09999999999999998,True,False
3631,842609,165.0,359,0.09999999999999998,True,False
3632,842768,110.0,159,0.09999999999999998,True,False
3633,842953,80.0,185,0.09999999999999998,True,False
3634,843397,300.0,444,0.09999999999999998,True,False
3635,843555,110.0,158,0.09999999999999998,True,False
3636,843769,125.0,214,0.09999999999999998,True,False
3637,843930,55.0,161,0.09999999999999998,True,False
3638,844262,255.0,332,0.09999999999999998,True,False
3639,844399,15.0,137,0.09999999999999998,True,False
3640,844670,175.0,271,0.09999999999999998,True,False
3641,844848,55.0,178,0.09999999999999998,True,False
3642,845143,200.0,295,0.09999999999999998,True,False
3643,845224,0.0,81,0.09999999999999998,True,False
3644,845605,150.0,381,0.09999999999999998,True,False
3645,845801,100.0,196,0.09999999999999998,True,False
3646,846084,240.0,283,0.09999999999999998,True,False
3647,846263,105.0,179,0.09999999999999998,True,False
3648,846471,115.0,208,0.09999999999999998,True,False
3649,846757,150.0,286,0.09999999999999998,True,False
3650,846895,35.0,138,0.09999999999999998,True,False
3651,847184,135.0,289,0.09999999999999998,True,False
3652,847376,90.0,192,0.09999999999999998,True,False
3653,847567,95.0,191,0.09999999999999998,True,False
3654,847714,65.0,147,0.09999999999999998,True,False
3655,847935,130.0,221,0.09999999999999998,True,False
3656,848267,210.0,332,0.09999999999999998,True,False
3657,848411,80.0,144,0.09999999999999998,True,False
3658,848604,110.0,193,0.09999999999999998,True,False
3659,849074,295.0,470,0.09999999999999998,True,False
3660,849371,215.0,297,0.09999999999999998,True,False
3661,849541,85.0,170,0.09999999999999998,True,False
3662,849753,85.0,212,0.09999999999999998,True,False
3663,850170,240.0,417,0.09999999999999998,True,False
3664,850321,95.0,151,0.09999999999999998,True,False
3665,850903,395.0,582,0.09999999999999998,True,False
3666,851051,65.0,148,0.09999999999999998,True,False
3667,851593,325.0,542,0.09999999999999998,True,False
3668,851781,140.0,188,0.09999999999999998,True,False
3669,852354,330.0,573,0.09999999999999998,True,False
3670,852645,180.0,291,0.09999999999999998,True,False
3671,852828,140.0,183,0.09999999999999998,True,False
3672,853030,105.0,202,0.09999999999999998,True,False
3673,853441,235.0,411,0.09999999999999998,True,False
3674,853596,110.0,155,0.09999999999999998,True,False
3675,853749,110.0,153,0.09999999999999998,True,False
