episodio,paso_global,recompensa_real,pasos,epsilon,terminated,truncated
151,30797,0.0,90,0.8891308,True,False
152,31077,85.0,280,0.8881228,True,False
153,31230,35.0,153,0.887572,True,False
154,31414,75.0,184,0.8869096,True,False
155,31713,105.0,299,0.8858332,True,False
156,31907,50.0,194,0.8851348,True,False
157,32071,15.0,164,0.8845444,True,False
158,32220,20.0,149,0.884008,True,False
159,32399,35.0,179,0.8833636,True,False
160,32550,30.0,151,0.8828199999999999,True,False
161,32957,135.0,407,0.8813548,True,False
162,33150,60.0,193,0.88066,True,False
163,33308,15.0,158,0.8800912,True,False
164,33487,50.0,179,0.8794468,True,False
165,33756,90.0,269,0.8784784,True,False
166,33970,80.0,214,0.877708,True,False
167,34135,30.0,165,0.877114,True,False
168,34315,35.0,180,0.876466,True,False
169,34441,20.0,126,0.8760124,True,False
170,34640,45.0,199,0.875296,True,False
171,35116,110.0,476,0.8735824,True,False
172,35262,35.0,146,0.8730568,True,False
173,35409,30.0,147,0.8725276,True,False
174,35603,50.0,194,0.8718292,True,False
175,35883,135.0,280,0.8708212,True,False
176,36043,15.0,160,0.8702452,True,False
177,36325,50.0,282,0.86923,True,False
178,36508,80.0,183,0.8685712,True,False
179,36607,0.0,99,0.8682148,True,False
180,36694,5.0,87,0.8679015999999999,True,False
181,37196,180.0,502,0.8660943999999999,True,False
182,37361,55.0,165,0.8655004,True,False
183,37633,90.0,272,0.8645212,True,False
184,37915,85.0,282,0.863506,True,False
185,38063,15.0,148,0.8629732,True,False
186,38262,80.0,199,0.8622568,True,False
187,38414,15.0,152,0.8617096,True,False
188,38687,115.0,273,0.8607268,True,False
189,38928,35.0,241,0.8598592,True,False
190,39086,75.0,158,0.8592904,True,False
191,39226,30.0,140,0.8587864000000001,True,False
192,39457,65.0,231,0.8579548,True,False
193,39920,180.0,463,0.8562879999999999,True,False
194,40096,75.0,176,0.8556544,True,False
195,40246,35.0,150,0.8551143999999999,True,False
196,40416,50.0,170,0.8545024,True,False
197,40577,40.0,161,0.8539228,True,False
198,40756,30.0,179,0.8532784,True,False
199,40958,35.0,202,0.8525512,True,False
200,41108,50.0,150,0.8520112,True,False
201,41441,20.0,333,0.8508124,True,False
202,41679,50.0,238,0.8499556,True,False
203,41873,55.0,194,0.8492572,True,False
204,42065,50.0,192,0.848566,True,False
