paso_global,loss,q_promedio,target_promedio,epsilon,tamano_buffer,tiempo_segundos
10000,0.01997959241271019,-0.0020651635713875294,0.07900410145521164,0.964,10000,5.444786071777344
11000,0.01480191946029663,0.07153752446174622,0.08002607524394989,0.9604,11000,8.508608102798462
12000,0.01642087660729885,0.0632576197385788,0.07994601875543594,0.9568,12000,11.341398000717163
13000,0.015251101925969124,0.06999348104000092,0.08007100224494934,0.9532,13000,14.157327890396118
14000,0.00010630647739162669,0.05823178589344025,0.04881742596626282,0.9496,14000,16.8975989818573
15000,0.04448910802602768,0.07985138893127441,0.14270718395709991,0.946,15000,19.681389808654785
16000,0.01529880240559578,0.05886811017990112,0.0801505446434021,0.9424,16000,22.642916917800903
17000,0.014614015817642212,0.06371111422777176,0.08033795654773712,0.9388,17000,25.794286966323853
18000,0.014477834105491638,0.07207821309566498,0.08009829372167587,0.9352,18000,28.781506061553955
19000,0.02919907309114933,0.06563232839107513,0.11124246567487717,0.9316,19000,31.822650909423828
20000,0.0005017633084207773,0.0702466368675232,0.04882870987057686,0.9279999999999999,20000,34.714399099349976
21000,0.0003773756616283208,0.09914229810237885,0.08076700568199158,0.9244,20000,37.72305202484131
22000,0.01499856449663639,0.10510315001010895,0.1112612709403038,0.9208000000000001,20000,40.63809108734131
23000,0.0010151331080123782,0.10915026068687439,0.0784502774477005,0.9172,20000,43.599031925201416
24000,0.0005214971024543047,0.0972793698310852,0.07398337125778198,0.9136,20000,46.50822901725769
25000,0.01463620737195015,0.08987337350845337,0.11136692762374878,0.91,20000,49.71860694885254
26000,0.0006811117636971176,0.10601894557476044,0.0834650844335556,0.9064,20000,52.74877190589905
27000,0.01038957666605711,0.09069641679525375,0.11360117048025131,0.9028,20000,55.78850698471069
28000,0.015031286515295506,0.08161845803260803,0.11037898063659668,0.8992,20000,58.828943967819214
29000,0.0013899127952754498,0.11950347572565079,0.08806107193231583,0.8956,20000,61.99226403236389
30000,0.00042712801950983703,0.0892697423696518,0.08145613223314285,0.892,20000,65.0715548992157
31000,0.01493692584335804,0.12335589528083801,0.13964994251728058,0.8884,20000,68.10809993743896
32000,0.00036995980190113187,0.10701481997966766,0.11486699432134628,0.8848,20000,71.17512202262878
33000,0.008389863185584545,0.1593472808599472,0.1440572738647461,0.8812,20000,74.26008200645447
34000,0.014878010377287865,0.10420476645231247,0.1437315046787262,0.8775999999999999,20000,77.34260511398315
35000,0.011809061281383038,0.16607341170310974,0.17542362213134766,0.874,20000,80.494637966156
36000,0.03520457446575165,0.15875494480133057,0.19543755054473877,0.8704000000000001,20000,83.45370197296143
37000,0.0023812782019376755,0.1422044038772583,0.1401149332523346,0.8668,20000,86.51971197128296
38000,0.03131674602627754,0.15095984935760498,0.21364206075668335,0.8632,20000,89.54851198196411
39000,0.015524801798164845,0.10474901646375656,0.1466945856809616,0.8596,20000,92.48260402679443
40000,0.0003262388054281473,0.11823949962854385,0.11593902111053467,0.856,20000,95.46494793891907
41000,0.0008219684823416173,0.15184251964092255,0.13071687519550323,0.8524,20000,98.54432201385498
42000,0.0007871331181377172,0.1425238996744156,0.13466881215572357,0.8488,20000,101.7238998413086
43000,0.0007173428311944008,0.14636269211769104,0.12059822678565979,0.8452,20000,104.87815880775452
44000,0.013790380209684372,0.16343440115451813,0.1811458170413971,0.8416,20000,108.06957387924194
45000,0.02033054828643799,0.16044297814369202,0.18812881410121918,0.838,20000,111.12994408607483
46000,0.01684350147843361,0.1911253035068512,0.16271089017391205,0.8344,20000,114.30084896087646
47000,0.0005395154585130513,0.13256675004959106,0.1428295224905014,0.8308,20000,117.378573179245
48000,0.017344193533062935,0.14697110652923584,0.14821462333202362,0.8271999999999999,20000,120.45433306694031
49000,0.0011218280997127295,0.1711457520723343,0.14091099798679352,0.8236,20000,123.51919293403625
50000,0.016510089859366417,0.153981015086174,0.14972233772277832,0.82,20000,126.68328881263733
51000,0.004115420393645763,0.20335552096366882,0.17757099866867065,0.8164,20000,135.1224319934845
52000,0.0003047868958674371,0.21151843667030334,0.20863811671733856,0.8128,20000,138.34217977523804
53000,0.0055014630779623985,0.28497064113616943,0.29184797406196594,0.8092,20000,141.57696890830994
54000,0.021973691880702972,0.24386051297187805,0.29437676072120667,0.8056,20000,144.9173560142517
55000,0.006778056267648935,0.2514745891094208,0.2289254069328308,0.802,20000,148.07798790931702
56000,0.0028096958994865417,0.2358134239912033,0.2514796257019043,0.7984,20000,151.68110609054565
57000,0.0011976788518950343,0.23404332995414734,0.21063965559005737,0.7948,20000,154.83560395240784
58000,0.000814184604678303,0.17858260869979858,0.15818941593170166,0.7912,20000,158.00898694992065
59000,0.03159263730049133,0.21305842697620392,0.27000805735588074,0.7876,20000,161.16210317611694
60000,0.0008706204243935645,0.20840239524841309,0.19843408465385437,0.784,20000,164.30693101882935
61000,0.005897025112062693,0.3396831154823303,0.3228612244129181,0.7804,20000,167.4672667980194
62000,0.0004575256025418639,0.21234571933746338,0.20462405681610107,0.7767999999999999,20000,170.6761338710785
63000,0.01407687645405531,0.25256839394569397,0.2672932744026184,0.7732,20000,173.83032774925232
64000,0.007954822853207588,0.25025826692581177,0.26891759037971497,0.7696,20000,177.02267289161682
65000,0.0022693502251058817,0.25711148977279663,0.22844845056533813,0.766,20000,180.1853539943695
66000,0.0013778116554021835,0.2021580934524536,0.19758069515228271,0.7624,20000,183.6297309398651
67000,0.015949450433254242,0.2599560618400574,0.26592904329299927,0.7587999999999999,20000,187.00449299812317
68000,0.0016085435636341572,0.24287229776382446,0.2198256552219391,0.7552,20000,190.35050702095032
69000,0.0016772605013102293,0.25768834352493286,0.25351977348327637,0.7515999999999999,20000,193.67941784858704
70000,0.003202092368155718,0.2872989773750305,0.28078100085258484,0.748,20000,197.16364908218384
71000,0.00738504296168685,0.3072851300239563,0.2773017883300781,0.7444,20000,200.54927015304565
