paso_global,loss,q_promedio,target_promedio,epsilon,tamano_buffer,tiempo_segundos
10000,0.01997959241271019,-0.0020651635713875294,0.07900410145521164,0.964,10000,6.582658052444458
11000,0.014879979193210602,0.05067553371191025,0.038416698575019836,0.9604,11000,9.619385004043579
12000,0.015989651903510094,0.015316996723413467,0.030238734558224678,0.9568,12000,12.51447081565857
13000,0.015357627533376217,0.004111748654395342,0.028121400624513626,0.9532,13000,15.441268920898438
14000,0.0004459020565263927,0.04863303527235985,0.035851724445819855,0.9496,14000,18.276600122451782
15000,0.045150890946388245,0.02669909968972206,0.09721750766038895,0.946,15000,21.16809892654419
16000,0.014727230183780193,0.016526583582162857,0.041720692068338394,0.9424,16000,24.00237798690796
17000,0.015052812173962593,0.029335498809814453,0.02924351394176483,0.9388,17000,26.8729989528656
18000,0.00065448391251266,0.03978930413722992,0.028500644490122795,0.9352,18000,29.820701837539673
19000,0.01508084125816822,0.017036497592926025,0.024823708459734917,0.9316,19000,32.749791860580444
20000,0.0005476181977428496,0.011723997071385384,-0.007566635496914387,0.9279999999999999,20000,35.75950312614441
21000,0.0158757995814085,0.029405701905488968,0.058049097657203674,0.9244,20000,38.667535066604614
22000,0.0003983636270277202,0.05111762136220932,0.029257558286190033,0.9208000000000001,20000,41.63505291938782
23000,0.00093444949015975,0.06153404712677002,0.025955334305763245,0.9172,20000,44.6385600566864
24000,0.02999679185450077,0.05012453347444534,0.09372155368328094,0.9136,20000,47.59848999977112
25000,0.014139060862362385,0.026076145470142365,0.04193180426955223,0.91,20000,50.64047884941101
26000,0.015726599842309952,0.05149974673986435,0.05459808185696602,0.9064,20000,53.695902824401855
27000,0.016099082306027412,0.037170715630054474,0.038419123739004135,0.9028,20000,56.740395069122314
28000,0.0008589002536609769,0.04657094180583954,0.015631327405571938,0.8992,20000,59.80233597755432
29000,0.04177359491586685,0.03518068417906761,0.10619273781776428,0.8956,20000,62.80009698867798
30000,0.0002656854339875281,0.03371041268110275,0.02317904308438301,0.892,20000,65.82535195350647
31000,0.0005380248767323792,0.06453753262758255,0.04008736088871956,0.8884,20000,68.8796169757843
32000,0.0260821133852005,0.05454787611961365,0.10239257663488388,0.8848,20000,71.90378904342651
33000,0.01326469425112009,0.08024390786886215,0.07943553477525711,0.8812,20000,74.99347710609436
34000,0.0015116081340238452,0.0797637552022934,0.041561540216207504,0.8775999999999999,20000,78.04428482055664
35000,0.0007018258911557496,0.05394526571035385,0.04432437941431999,0.874,20000,81.15788388252258
36000,0.0004850552068091929,0.06869643926620483,0.0414842888712883,0.8704000000000001,20000,84.2599470615387
37000,0.014274001121520996,0.046388596296310425,0.0669792890548706,0.8668,20000,87.27366304397583
38000,0.007785063702613115,0.07285445928573608,0.08145797252655029,0.8632,20000,90.34940099716187
39000,0.0010059254709631205,0.0531306266784668,0.04740693420171738,0.8596,20000,93.40635204315186
40000,0.0018589375540614128,0.051969483494758606,0.02803955040872097,0.856,20000,96.39898800849915
41000,0.01810346357524395,0.0949316918849945,0.08469460904598236,0.8524,20000,99.42323088645935
42000,0.006025059148669243,0.0871393233537674,0.08592681586742401,0.8488,20000,102.42425298690796
43000,0.01093979086726904,0.11386468261480331,0.13334348797798157,0.8452,20000,105.45617294311523
44000,0.0013511601136997342,0.06570294499397278,0.0476449579000473,0.8416,20000,108.45160698890686
45000,0.0005887417355552316,0.07309602200984955,0.062370747327804565,0.838,20000,111.54275703430176
46000,0.013830970972776413,0.07023078948259354,0.0821455791592598,0.8344,20000,114.58395290374756
47000,0.0023408038541674614,0.10454965382814407,0.08455540984869003,0.8308,20000,117.7022020816803
48000,0.0013740803115069866,0.0659666359424591,0.06833153963088989,0.8271999999999999,20000,120.81474995613098
49000,0.027683500200510025,0.1107223704457283,0.1656263768672943,0.8236,20000,123.87833499908447
50000,0.014733533374965191,0.06855948269367218,0.09372258186340332,0.82,20000,126.9754569530487
51000,0.019136467948555946,0.11495934426784515,0.13230764865875244,0.8164,20000,133.79620885849
52000,0.02996520698070526,0.06963469088077545,0.1302785873413086,0.8128,20000,136.92277193069458
53000,0.0006037837592884898,0.08598600327968597,0.07487329840660095,0.8092,20000,140.15366196632385
54000,0.0162713211029768,0.08249519765377045,0.11326394975185394,0.8056,20000,143.34382009506226
55000,0.009956647641956806,0.21656741201877594,0.17397662997245789,0.802,20000,146.47053694725037
56000,0.0008454874623566866,0.09948588907718658,0.08953271061182022,0.7984,20000,149.77984189987183
57000,0.00125573156401515,0.08346199989318848,0.06841880083084106,0.7948,20000,153.02464294433594
58000,0.0018270290456712246,0.0949496328830719,0.07239888608455658,0.7912,20000,156.19650292396545
59000,0.001387616153806448,0.11865630000829697,0.11739993840456009,0.7876,20000,159.39939188957214
60000,0.016618505120277405,0.11836270987987518,0.14557580649852753,0.784,20000,162.56689310073853
61000,0.00417389115318656,0.135722354054451,0.1383868157863617,0.7804,20000,165.86029696464539
62000,0.016924308612942696,0.11788995563983917,0.14509326219558716,0.7767999999999999,20000,169.0514199733734
63000,0.001178267295472324,0.10413271188735962,0.07709205895662308,0.7732,20000,172.26518082618713
64000,0.0013761401642113924,0.13442304730415344,0.12075076252222061,0.7696,20000,175.43114495277405
65000,0.0011036444921046495,0.08307309448719025,0.06198323518037796,0.766,20000,178.86634182929993
66000,0.0067380438558757305,0.07482212781906128,0.09252753853797913,0.7624,20000,182.13965892791748
67000,0.0017362096114084125,0.12341789901256561,0.11154460906982422,0.7587999999999999,20000,185.2720329761505
68000,0.0006179880583658814,0.09222031384706497,0.08807940781116486,0.7552,20000,188.433030128479
69000,0.005523268599063158,0.18279929459095,0.1934315264225006,0.7515999999999999,20000,191.6497609615326
70000,0.0015920721925795078,0.12200901657342911,0.11022347211837769,0.748,20000,194.86126685142517
71000,0.0185102466493845,0.14832255244255066,0.18495428562164307,0.7444,20000,197.98789596557617
72000,0.0018681944347918034,0.12446726858615875,0.119667187333107,0.7408,20000,201.1809799671173
73000,0.0024780412204563618,0.18307849764823914,0.16307175159454346,0.7372000000000001,20000,204.3049111366272
74000,0.0010683720465749502,0.1483568698167801,0.1326255202293396,0.7336,20000,207.4568808078766
75000,0.0041967397555708885,0.16155800223350525,0.16057375073432922,0.73,20000,210.7536120414734
76000,0.0012032148661091924,0.16099736094474792,0.13519322872161865,0.7263999999999999,20000,213.83043789863586
77000,0.011734231375157833,0.18648454546928406,0.1964019238948822,0.7228,20000,217.01775097846985
78000,0.005338117480278015,0.21139779686927795,0.20818141102790833,0.7192000000000001,20000,220.2679967880249
79000,0.015052533708512783,0.1098453626036644,0.1467791497707367,0.7156,20000,223.54572010040283
80000,0.0005541814025491476,0.1379321962594986,0.1335887610912323,0.712,20000,226.73615312576294
81000,0.018875498324632645,0.19280055165290833,0.21564015746116638,0.7083999999999999,20000,229.90410900115967
82000,0.0121155371889472,0.2069551795721054,0.22065505385398865,0.7048,20000,233.02093195915222
83000,0.00338001549243927,0.2699017822742462,0.23832282423973083,0.7012,20000,236.28159093856812
84000,0.002982654143124819,0.23587436974048615,0.21143625676631927,0.6976,20000,239.51553797721863
