episodio,paso_global,recompensa_real,pasos,epsilon,terminated,truncated
0,149,0.0,149,0.9994636,True,False
1,377,30.0,228,0.9986428,True,False
2,519,10.0,142,0.9981316,True,False
3,665,35.0,146,0.997606,True,False
4,824,30.0,159,0.9970336,True,False
5,1077,120.0,253,0.9961228,True,False
6,1250,30.0,173,0.9955,True,False
7,1436,15.0,186,0.9948304,True,False
8,1595,50.0,159,0.994258,True,False
9,2082,120.0,487,0.9925048,True,False
10,2264,15.0,182,0.9918496,True,False
11,2364,0.0,100,0.9914896,True,False
12,2653,110.0,289,0.9904492,True,False
13,2845,85.0,192,0.989758,True,False
14,3123,85.0,278,0.9887572,True,False
15,3555,120.0,432,0.987202,True,False
16,3719,45.0,164,0.9866116,True,False
17,3995,55.0,276,0.985618,True,False
18,4089,0.0,94,0.9852796,True,False
19,4339,65.0,250,0.9843796,True,False
20,4764,320.0,425,0.9828496,True,False
21,4916,60.0,152,0.9823024,True,False
22,5102,50.0,186,0.9816328,True,False
23,5405,290.0,303,0.980542,True,False
24,5533,5.0,128,0.9800812,True,False
25,5688,20.0,155,0.9795232,True,False
26,5840,45.0,152,0.978976,True,False
27,6014,75.0,174,0.9783496,True,False
28,6157,0.0,143,0.9778348,True,False
29,6312,30.0,155,0.9772768000000001,True,False
30,6702,165.0,390,0.9758728,True,False
31,6860,60.0,158,0.975304,True,False
32,7022,60.0,162,0.9747208,True,False
33,7163,15.0,141,0.9742132,True,False
34,7338,30.0,175,0.9735832,True,False
35,7500,45.0,162,0.973,True,False
36,7691,65.0,191,0.9723124,True,False
37,7878,65.0,187,0.9716392,True,False
38,8018,50.0,140,0.9711352,True,False
39,8233,50.0,215,0.9703612,True,False
40,8386,20.0,153,0.9698104,True,False
41,8544,45.0,158,0.9692416,True,False
42,8752,75.0,208,0.9684928,True,False
43,8907,105.0,155,0.9679348,True,False
44,8989,0.0,82,0.9676396,True,False
45,9136,35.0,147,0.9671104,True,False
46,9357,35.0,221,0.9663148,True,False
47,9546,30.0,189,0.9656344,True,False
48,9771,30.0,225,0.9648244,True,False
49,10197,125.0,426,0.9632908,True,False
50,10640,140.0,443,0.961696,True,False
51,10834,15.0,194,0.9609976,True,False
52,11067,5.0,233,0.9601588,True,False
53,11359,90.0,292,0.9591076000000001,True,False
54,11634,90.0,275,0.9581176,True,False
55,11807,30.0,173,0.9574948,True,False
56,11948,30.0,141,0.9569872,True,False
57,12130,55.0,182,0.956332,True,False
58,12257,5.0,127,0.9558748,True,False
59,12525,60.0,268,0.95491,True,False
60,12668,0.0,143,0.9543952,True,False
61,12810,15.0,142,0.953884,True,False
62,12952,5.0,142,0.9533728,True,False
63,13139,60.0,187,0.9526996,True,False
64,13585,315.0,446,0.951094,True,False
65,13732,30.0,147,0.9505648,True,False
66,14042,300.0,310,0.9494488,True,False
67,14127,15.0,85,0.9491428,True,False
68,14267,35.0,140,0.9486388,True,False
69,14630,135.0,363,0.947332,True,False
70,14789,75.0,159,0.9467596,True,False
71,14994,20.0,205,0.9460216,True,False
72,15103,15.0,109,0.9456292,True,False
73,15509,335.0,406,0.9441676,True,False
74,15601,0.0,92,0.9438364,True,False
75,15731,35.0,130,0.9433684,True,False
76,15877,50.0,146,0.9428428,True,False
77,16566,140.0,689,0.9403624,True,False
78,16717,15.0,151,0.9398188,True,False
79,17090,60.0,373,0.938476,True,False
80,17303,35.0,213,0.9377092,True,False
81,17503,30.0,200,0.9369892,True,False
82,17691,115.0,188,0.9363124,True,False
83,17793,0.0,102,0.9359452,True,False
84,18038,110.0,245,0.9350632,True,False
85,18124,5.0,86,0.9347536,True,False
86,18215,0.0,91,0.934426,True,False
87,18305,0.0,90,0.934102,True,False
88,18469,60.0,164,0.9335116,True,False
89,18640,35.0,171,0.932896,True,False
90,18796,30.0,156,0.9323344,True,False
91,18921,30.0,125,0.9318844,True,False
92,19071,35.0,150,0.9313444,True,False
93,19224,50.0,153,0.9307936,True,False
94,19390,0.0,166,0.930196,True,False
95,19543,50.0,153,0.9296452,True,False
96,19722,55.0,179,0.9290008,True,False
97,19868,15.0,146,0.9284752000000001,True,False
98,20069,15.0,201,0.9277516,True,False
99,20367,50.0,298,0.9266788,True,False
100,20527,50.0,160,0.9261028,True,False
101,20672,25.0,145,0.9255808,True,False
102,20866,80.0,194,0.9248824,True,False
103,21038,35.0,172,0.9242632,True,False
104,21259,65.0,221,0.9234675999999999,True,False
105,21468,30.0,209,0.9227152,True,False
106,22009,365.0,541,0.9207676,True,False
107,22157,10.0,148,0.9202348,True,False
108,22250,0.0,93,0.9198999999999999,True,False
109,22399,25.0,149,0.9193636000000001,True,False
110,22891,140.0,492,0.9175924,True,False
111,23066,50.0,175,0.9169624,True,False
112,23250,20.0,184,0.9163,True,False
113,23439,60.0,189,0.9156196,True,False
114,23588,30.0,149,0.9150832,True,False
