paso_global,loss,q_promedio,target_promedio,error_td_promedio,beta_per,peso_importancia_promedio,epsilon,tamano_buffer,tiempo_segundos
10000,0.08571560680866241,-0.007034945301711559,0.20081722736358643,0.2083742618560791,0.41200000000000003,1.0,0.964,9996,6.013430833816528
11000,0.01579166390001774,0.18979696929454803,0.1700364500284195,0.2013854682445526,0.4132,0.4329740107059479,0.9604,10996,9.295202016830444
12000,0.06087962165474892,0.21915744245052338,0.3512980043888092,0.374655544757843,0.41440000000000005,0.6228389143943787,0.9568,11996,12.637213945388794
13000,0.03856342285871506,0.22753503918647766,0.32207149267196655,0.33950650691986084,0.4156,0.5350790023803711,0.9532,12996,16.25282573699951
14000,0.03767178952693939,0.2553924024105072,0.26150453090667725,0.3014216423034668,0.4168,0.6537779569625854,0.9496,13996,19.685806035995483
15000,0.03704443946480751,0.2335907518863678,0.2292385697364807,0.2949594259262085,0.41800000000000004,0.6300852298736572,0.946,14996,22.946712732315063
16000,0.021052950993180275,0.1810169816017151,0.3179100751876831,0.2721800208091736,0.4192,0.37875300645828247,0.9424,15996,26.215194702148438
17000,0.06166274845600128,0.22928962111473083,0.41745567321777344,0.39110660552978516,0.4204,0.5862832069396973,0.9388,16996,29.558083057403564
18000,0.03660564124584198,0.21740120649337769,0.3210879862308502,0.30015668272972107,0.42160000000000003,0.554922342300415,0.9352,17996,32.935242891311646
19000,0.0195927657186985,0.21616880595684052,0.29081422090530396,0.27207279205322266,0.4228,0.3518674969673157,0.9316,18996,36.197908878326416
20000,0.03555358946323395,0.2610224187374115,0.29066982865333557,0.31097787618637085,0.42400000000000004,0.5663906931877136,0.9279999999999999,19996,39.4188768863678
21000,0.02100980654358864,0.5047022104263306,0.3832215666770935,0.2749859690666199,0.4252,0.44241470098495483,0.9244,20000,42.670514822006226
22000,0.03884098678827286,0.5369328260421753,0.5335257053375244,0.32529962062835693,0.4264,0.6028278470039368,0.9208000000000001,20000,45.91682195663452
23000,0.02033371850848198,0.43389981985092163,0.34108102321624756,0.24880428612232208,0.42760000000000004,0.4997336268424988,0.9172,20000,49.28541684150696
24000,0.02186598628759384,0.34988048672676086,0.34404560923576355,0.24789901077747345,0.4288,0.48718613386154175,0.9136,20000,52.64563584327698
25000,0.006779850460588932,0.4602152109146118,0.3480454981327057,0.23491299152374268,0.43000000000000005,0.2289091944694519,0.91,20000,55.928518772125244
