paso_global,promedio,mediana,desviacion,minimo,maximo
1050000,455.0,450.0,122.75992831539125,315.0,615.0
1100000,508.0,425.0,254.7273051716286,285.0,990.0
1150000,475.0,475.0,60.58052492344384,385.0,575.0
1200000,447.0,380.0,150.08664164408503,345.0,745.0
1250000,462.0,470.0,92.33634170791044,290.0,545.0
1300000,485.0,455.0,96.33275663033837,350.0,600.0
1350000,427.0,325.0,197.651207939643,225.0,775.0
1400000,631.0,550.0,279.29196193231195,340.0,1100.0
1450000,565.0,580.0,205.37770083434083,330.0,885.0
1500000,465.0,375.0,149.43225890014511,310.0,720.0
