paso_global,loss,q_promedio,target_promedio,epsilon,tamano_buffer,tiempo_segundos
10000,0.0008811167208477855,0.03120020031929016,0.059802472591400146,0.964,10000,7.970203161239624
11000,0.0007214686484076083,0.08996911346912384,0.06322531402111053,0.9604,11000,11.528907060623169
12000,0.016219204291701317,0.06988520920276642,0.10698248445987701,0.9568,12000,15.164622068405151
13000,0.0015192707069218159,0.07051736116409302,0.016295289620757103,0.9532,13000,18.67553997039795
14000,0.00014576231478713453,0.06077771633863449,0.07032942771911621,0.9496,14000,22.354353189468384
15000,0.02856588549911976,0.09795553982257843,0.1373308300971985,0.946,15000,26.04711103439331
16000,0.014033684507012367,0.08890985697507858,0.08967363834381104,0.9424,16000,29.607529878616333
17000,0.0009757925290614367,0.0690254271030426,0.030015718191862106,0.9388,17000,33.25228691101074
18000,0.03156975656747818,0.04261437803506851,0.11162064224481583,0.9352,18000,36.98104691505432
19000,0.00045977620175108314,0.08795205503702164,0.06470061838626862,0.9316,19000,40.65007495880127
20000,0.000793788640294224,0.07983098924160004,0.050555843859910965,0.9279999999999999,20000,44.228585958480835
21000,0.015215274877846241,0.10071203857660294,0.11430826783180237,0.9244,20000,47.83705377578735
22000,0.0004986979765817523,0.09797591716051102,0.07456973195075989,0.9208000000000001,20000,51.42359399795532
23000,0.029361173510551453,0.11277586221694946,0.14768821001052856,0.9172,20000,54.987947940826416
24000,0.023071326315402985,0.10844116657972336,0.1450396180152893,0.9136,20000,58.62383413314819
25000,0.01205783523619175,0.11476737260818481,0.11301995068788528,0.91,20000,62.190606117248535
26000,0.011480939574539661,0.107710100710392,0.11423736065626144,0.9064,20000,65.77353501319885
27000,0.002408666769042611,0.10883700102567673,0.07431946694850922,0.9028,20000,69.4126489162445
28000,0.0004499932983890176,0.09529241174459457,0.0728859007358551,0.8992,20000,72.95465588569641
29000,0.024561500176787376,0.09557200223207474,0.14270521700382233,0.8956,20000,76.41391205787659
30000,0.0293942391872406,0.0855012908577919,0.14073920249938965,0.892,20000,79.85777997970581
31000,0.007874089293181896,0.11884584277868271,0.11564755439758301,0.8884,20000,83.25874090194702
32000,0.001355461310595274,0.11400408297777176,0.08382152020931244,0.8848,20000,87.03144788742065
33000,0.006989785470068455,0.1263885796070099,0.13970617949962616,0.8812,20000,90.48804903030396
34000,0.002609563060104847,0.11208054423332214,0.11248615384101868,0.8775999999999999,20000,94.20279598236084
35000,0.00020838540513068438,0.10161475092172623,0.09991122037172318,0.874,20000,97.78072381019592
36000,0.016069475561380386,0.09119772911071777,0.11070337146520615,0.8704000000000001,20000,101.56374192237854
37000,0.0025316078681498766,0.11530592292547226,0.08499574661254883,0.8668,20000,105.37742304801941
38000,0.00031547315302304924,0.09409213066101074,0.08558252453804016,0.8632,20000,109.16601586341858
39000,0.00015768258890602738,0.12342005223035812,0.12401435524225235,0.8596,20000,112.85867404937744
40000,0.019370703026652336,0.10666511952877045,0.15164056420326233,0.856,20000,116.5206789970398
41000,0.015118062496185303,0.1447116732597351,0.1401001662015915,0.8524,20000,120.21782398223877
42000,0.04628487303853035,0.12768998742103577,0.21408894658088684,0.8488,20000,123.866868019104
43000,0.014975926838815212,0.16041022539138794,0.1718875765800476,0.8452,20000,127.53957295417786
44000,0.014653313905000687,0.15016640722751617,0.15814584493637085,0.8416,20000,131.22065091133118
45000,0.0013555728364735842,0.12875880300998688,0.1303822100162506,0.838,20000,135.1136507987976
46000,0.018435973674058914,0.1298542618751526,0.15450036525726318,0.8344,20000,138.83987402915955
47000,0.014454013668000698,0.13160660862922668,0.16061919927597046,0.8308,20000,142.546138048172
